	Country Name	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
20	Bangladesh	53369787319.0	53991289844.0	54724081491.0	60158929188.0	65108544250.0	69442943089.0	71819083684.0	79611888213.0	91631278239.0	102478000000.0	115279000000.0	128638000000.0	133356000000.0	149990000000.0	172885000000.0	195079000000.0	221415000000.0	249711000000.0	274039000000.0	302571000000.0	323057000000.0
21	Bulgaria	13245833844.0	14183497963.0	16402846413.0	21144983552.0	26157894737.0	29869283400.0	34379808889.0	44405101470.0	54438966420.0	52023504656.0	50682061053.0	57678241024.0	54300857424.0	55810138436.0	57082011260.0	50781996713.0	53953897624.0	59199447421.0	66363422450.0	68915416142.0	69889347433.0
22	Bahrain	9062898936.0	8976196809.0	9593510638.0	11074813830.0	13150159574.0	15968723404.0	18504760638.0	21730000000.0	25710904255.0	22938218085.0	25713271277.0	28776595745.0	30749308511.0	32539468085.0	33387712766.0	31050638298.0	32234973404.0	35473776596.0	37801462766.0	38652579787.0	34729228723.0
23	Bahamas, The	8076470000.0	8317830000.0	8881160000.0	8870090000.0	9055290000.0	9836200000.0	10167250000.0	10618340000.0	10526000000.0	9981960000.0	10095760000.0	10070450000.0	10720500000.0	10494600000.0	11142900000.0	11890600000.0	11992600000.0	12359700000.0	12837800000.0	13164400000.0	9907500000.0
24	Bosnia and Herzegovina	5567405599.0	5800774717.0	6728771314.0	8498560902.0	10157553968.0	11222953335.0	12864610863.0	15778767411.0	19112739398.0	17613836527.0	17176781046.0	18644723854.0	17221192466.0	18172335776.0	18560861389.0	16219819017.0	16914287349.0	18079075771.0	20177409351.0	20201323260.0	19946496563.0
25	Belarus	12736856828.0	12354820144.0	14594249023.0	17827791321.0	23144351852.0	30207567317.0	36954312354.0	45277399814.0	60763483146.0	50874078052.0	57222490769.0	61757788945.0	65685102555.0	75527984234.0	78813839984.0	56454734397.0	47722657821.0	54726595249.0	60031262269.0	64409647194.0	60258239056.0
26	Belize	832072450.0	868358750.0	925197950.0	983575600.0	1051386600.0	1102564900.0	1210603750.0	1271598050.0	1351338650.0	1317309450.0	1377177100.0	1460797903.0	1522897506.0	1579411253.0	1667335061.0	1721700991.0	1789304088.0	1858529677.0	1915899787.0	1982518541.0	1636280797.0
27	Bermuda	3480219000.0	3680483000.0	3937228000.0	4186525000.0	4484703000.0	4868136000.0	6144000000.0	6767000000.0	6980000000.0	6656000000.0	6634526000.0	6312691000.0	6378188000.0	6465756000.0	6413988000.0	6654541000.0	6899911000.0	7142316000.0	7224329000.0	7484113000.0	6842700000.0
28	Bolivia	8397912509.0	8141537938.0	7905485216.0	8082364868.0	8773451739.0	9549077869.0	11451869165.0	13120183157.0	16674324634.0	17339992165.0	19649631314.0	23963033431.0	27084497483.0	30659338880.0	32996188013.0	33000198248.0	33941126200.0	37508642165.0	40287647930.0	40895322844.0	36572764863.0
29	Brazil	655448000000.0	559984000000.0	509795000000.0	558234000000.0	669289000000.0	891634000000.0	1107630000000.0	1397110000000.0	1695860000000.0	1667000000000.0	2208840000000.0	2616160000000.0	2465230000000.0	2472820000000.0	2456040000000.0	1802210000000.0	1795690000000.0	2063510000000.0	1916930000000.0	1877820000000.0	1444730000000.0
30	Barbados	3059500000.0	3054500000.0	3106500000.0	3209500000.0	3444500000.0	3819500000.0	4217500000.0	4674000000.0	4785000000.0	4465500000.0	4530000000.0	4657500000.0	4610000000.0	4677000000.0	4696500000.0	4715000000.0	4830000000.0	4978000000.0	5086500000.0	5209000000.0	4418000000.0
31	Brunei Darussalam	6001153306.0	5601090584.0	5843329108.0	6557333085.0	7872333215.0	9531402848.0	11470703002.0	12247694247.0	14393099069.0	10732366286.0	13707370737.0	18525319978.0	19047940301.0	18093829923.0	17098342541.0	12930394938.0	11400854268.0	12128104859.0	13567351175.0	13469422959.0	12005825770.0
32	Bhutan	424464089.9	461444513.7	520849551.5	604041957.9	682523857.0	796938120.2	874989895.6	1168308517.0	1227808791.0	1234014292.0	1547991318.0	1777101317.0	1781281282.0	1756215665.0	1907090813.0	2003598213.0	2158972129.0	2450364928.0	2446866405.0	2535657069.0	2315437338.0
33	Botswana	5788329609.0	5489608300.0	5438857107.0	7511582173.0	8957467707.0	9918907108.0	10137883299.0	10939053365.0	10945070442.0	10267133178.0	12786654498.0	15351972361.0	14380004175.0	14901750991.0	15654660710.0	13578754072.0	15082578065.0	16088437675.0	16914245098.0	16593720656.0	15061922802.0
34	Central African Republic	914500299.1	931833302.8	991387870.1	1139754799.0	1270080251.0	1337362392.0	1460561215.0	1697565949.0	1985240986.0	2059094048.0	2142591376.0	2437982840.0	2510126699.0	1691544192.0	1894813505.0	1695825708.0	1825018191.0	2072349794.0	2220978978.0	2220307369.0	2380087758.0
35	Canada	744773000000.0	738982000000.0	760649000000.0	895541000000.0	1026690000000.0	1173110000000.0	1319260000000.0	1468820000000.0	1552990000000.0	1374630000000.0	1617340000000.0	1793330000000.0	1828370000000.0	1846600000000.0	1805750000000.0	1556510000000.0	1527990000000.0	1649270000000.0	1725330000000.0	1742020000000.0	1645420000000.0
