Index	Rank	Country	Gold	Silver	Bronze	Total_Medals	Nominal_GDP_2020	Nominal_GDP_2019	Nominal_GDP_2018	Nominal_GDP_2017	Nominal_GDP_2016	Nominal_GDP_2015	Nominal_GDP_2014	Nominal_GDP_2013	Nominal_GDP_2012	Nominal_GDP_2011	Nominal_GDP_2010	Nominal_GDP_2009	Nominal_GDP_2008	Nominal_GDP_2007	Nominal_GDP_2006	Nominal_GDP_2005	Nominal_GDP_2004	Nominal_GDP_2003	Nominal_GDP_2002	Nominal_GDP_2001	Population_2020	Population_2019	Population_2018	Population_2017	Population_2016	Population_2015	Population_2014	Population_2013	Population_2012	Population_2011	Population_2010	Population_2009	Population_2008	Population_2007	Population_2006	Population_2005	Population_2004	Population_2003	Population_2002	Population_2001
10	11	Canada	7	6	11	24	1645420000000.0	1742020000000.0	1725330000000.0	1649270000000.0	1527990000000.0	1556510000000.0	1805750000000.0	1846600000000.0	1828370000000.0	1793330000000.0	1617340000000.0	1374630000000.0	1552990000000.0	1468820000000.0	1319260000000.0	1173110000000.0	1026690000000.0	895541000000.0	760649000000.0	738982000000.0	38037204.0	37601230.0	37065084.0	36545236.0	36109487.0	35702908.0	35437435.0	35082954.0	34714222.0	34339328.0	34004889.0	33628895.0	33247118.0	32889025.0	32571174.0	32243753.0	31940655.0	31644028.0	31360079.0	31020902.0
11	12	Brazil	7	6	8	21	1444730000000.0	1877820000000.0	1916930000000.0	2063510000000.0	1795690000000.0	1802210000000.0	2456040000000.0	2472820000000.0	2465230000000.0	2616160000000.0	2208840000000.0	1667000000000.0	1695860000000.0	1397110000000.0	1107630000000.0	891634000000.0	669289000000.0	558234000000.0	509795000000.0	559984000000.0	212559409.0	211049519.0	209469320.0	207833825.0	206163056.0	204471759.0	202763744.0	201035904.0	199287292.0	197514541.0	195713637.0	193886505.0	192030362.0	190130445.0	188167353.0	186127108.0	184006479.0	181809244.0	179537523.0	177196051.0
12	13	New_Zealand	7	6	7	20	210701000000.0	212891000000.0	212226000000.0	206951000000.0	188943000000.0	178064000000.0	201313000000.0	190907000000.0	176207000000.0	168291000000.0	146518000000.0	121374000000.0	133131000000.0	137189000000.0	111539000000.0	114720000000.0	103905000000.0	88250885550.0	66627729311.0	53872425917.0																				
13	14	Cuba	7	3	5	15	107352000000.0	103428000000.0	100050000000.0	96851000000.0	91370000000.0	87133000000.0	80656000000.0	77148000000.0	73141000000.0	68990000000.0	64328000000.0	62080000000.0	60806300000.0	58603900000.0	52742800000.0	42643836100.0	38203000000.0	35901200000.0	33590500000.0	31682400000.0	11326616.0	11333484.0	11338146.0	11339255.0	11335108.0	11324777.0	11306909.0	11282722.0	11257112.0	11236671.0	11225833.0	11226711.0	11236975.0	11251117.0	11261241.0	11261586.0	11250369.0	11229185.0	11199664.0	11164676.0
14	15	Hungary	6	7	7	20	155808000000.0	163526000000.0	160587000000.0	143136000000.0	128636000000.0	125210000000.0	141079000000.0	135733000000.0	128857000000.0	142000000000.0	132231000000.0	131114000000.0	158374000000.0	140228000000.0	115751000000.0	113237000000.0	104141000000.0	85302003908.0	67608919144.0	53749989092.0	9750149.0	9771141.0	9775564.0	9787966.0	9814023.0	9843028.0	9866468.0	9893082.0	9920362.0	9971727.0	10000023.0	10022650.0	10038188.0	10055780.0	10071370.0	10087065.0	10107146.0	10129552.0	10158608.0	10187576.0
15	16	Korea	6	4	10	20	1637900000000.0	1651420000000.0	1724850000000.0	1623900000000.0	1500110000000.0	1465770000000.0	1484320000000.0	1370800000000.0	1278430000000.0	1253220000000.0	1144070000000.0	943942000000.0	1047340000000.0	1172610000000.0	1053220000000.0	934901000000.0	793175000000.0	702717000000.0	627246000000.0	547658000000.0	51836239.0	51764822.0	51585058.0	51361911.0	51217803.0	51014947.0	50746659.0	50428893.0	50199853.0	49936638.0	49554112.0	49307835.0	49054708.0	48683638.0	48438292.0	48184561.0	48082519.0	47892330.0	47644736.0	47370164.0
16	17	Poland	4	5	5	14	596624000000.0	597281000000.0	587412000000.0	526509000000.0	472630000000.0	477812000000.0	542477000000.0	521016000000.0	498524000000.0	528301000000.0	479834000000.0	439738000000.0	533609000000.0	429029000000.0	344622000000.0	306144000000.0	255110000000.0	217827000000.0	199072000000.0	190905000000.0	37899070.0	37965475.0	37974750.0	37974826.0	37970087.0	37986412.0	38011735.0	38040196.0	38063164.0	38063255.0	38042794.0	38151603.0	38125759.0	38120560.0	38141267.0	38165445.0	38182222.0	38204570.0	38230364.0	38248076.0
17	18	Czech_Republic	4	4	3	11	245339000000.0	252498000000.0	248950000000.0	218629000000.0	196272000000.0	188033000000.0	209359000000.0	211686000000.0	208858000000.0	229563000000.0	209070000000.0	207434000000.0	236816000000.0	190184000000.0	156264000000.0	137143000000.0	119814000000.0	100090000000.0	82196001051.0	67808032980.0																				
18	19	Kenya	4	4	2	10	101014000000.0	100555000000.0	92202956321.0	82035800868.0	74815121315.0	70120413329.0	68285768554.0	61671425370.0	56396706006.0	46869457318.0	45405587557.0	42347217913.0	35895153328.0	31958195182.0	25825524821.0	18737897745.0	16095337094.0	14904517650.0	13147743911.0	12986007426.0	53771300.0	52573967.0	51392570.0	50221146.0	49051531.0	47878339.0	46700063.0	45519986.0	44343469.0	43178270.0	42030684.0	40901798.0	39791984.0	38705934.0	37649039.0	36624897.0	35635267.0	34678781.0	33751746.0	32848569.0
19	20	Norway	4	2	2	8	362198000000.0	404941000000.0	437000000000.0	398394000000.0	368827000000.0	385802000000.0	498410000000.0	522762000000.0	509506000000.0	498283000000.0	428757000000.0	386190000000.0	462250000000.0	400937000000.0	345581000000.0	308884000000.0	264512000000.0	228859000000.0	195524000000.0	173972000000.0	5379475.0	5347896.0	5311916.0	5276968.0	5234519.0	5188607.0	5137232.0	5079623.0	5018573.0	4953088.0	4889252.0	4828726.0	4768212.0	4709153.0	4660677.0	4623291.0	4591910.0	4564855.0	4538159.0	4513751.0
