Index	Rank	Country	Gold	Silver	Bronze	Total_Medals	Nominal_GDP_2020	Nominal_GDP_2019	Nominal_GDP_2018	Nominal_GDP_2017	Nominal_GDP_2016	Nominal_GDP_2015	Nominal_GDP_2014	Nominal_GDP_2013	Nominal_GDP_2012	Nominal_GDP_2011	Nominal_GDP_2010	Nominal_GDP_2009	Nominal_GDP_2008	Nominal_GDP_2007	Nominal_GDP_2006	Nominal_GDP_2005	Nominal_GDP_2004	Nominal_GDP_2003	Nominal_GDP_2002	Nominal_GDP_2001	Population_2020	Population_2019	Population_2018	Population_2017	Population_2016	Population_2015	Population_2014	Population_2013	Population_2012	Population_2011	Population_2010	Population_2009	Population_2008	Population_2007	Population_2006	Population_2005	Population_2004	Population_2003	Population_2002	Population_2001
40	41	Qatar	2	0	1	3	144411000000.0	176371000000.0	183335000000.0	161099000000.0	151732000000.0	161740000000.0	206225000000.0	198728000000.0	186834000000.0	167775000000.0	125122000000.0	97798351648.0	115270000000.0	79712087912.0	60882142857.0	44530494505.0	31734065934.0	23533791209.0	19363736264.0	17538461538.0	2881060.0	2832071.0	2781682.0	2724727.0	2654379.0	2565708.0	2459202.0	2336579.0	2196078.0	2035862.0	1856329.0	1654944.0	1436670.0	1218441.0	1022704.0	865410.0	753332.0	681791.0	640872.0	615013.0
41	42	Bahamas	2	0	0	2	9907500000.0	13164400000.0	12837800000.0	12359700000.0	11992600000.0	11890600000.0	11142900000.0	10494600000.0	10720500000.0	10070450000.0	10095760000.0	9981960000.0	10526000000.0	10618340000.0	10167250000.0	9836200000.0	9055290000.0	8870090000.0	8881160000.0	8317830000.0	393248.0	389486.0	385635.0	381749.0	377923.0	374200.0	370625.0	367162.0	363581.0	359583.0	354936.0	349600.0	343680.0	337387.0	331032.0	324848.0	318893.0	313123.0	307657.0	302618.0
42	42	Kosovo	2	0	0	2	7716925356.0	7899879086.0	7878508503.0	7180813376.0	6682832632.0	6295820482.0	7074657898.0	6735731173.0	6163785173.0	6341737194.0	5344014318.0	5015894693.0	5181776769.0								1790133.0	1788878.0	1797085.0	1791003.0	1777557.0	1788196.0	1812771.0	1818117.0	1807106.0	1791000.0	1775680.0	1761474.0	1747383.0	1733404.0	1719536.0	1705780.0	1704622.0	1703466.0	1702310.0	1701154.0
43	44	Ukraine	1	6	12	19	155499000000.0	153883000000.0	130891000000.0	112091000000.0	93355993629.0	91030959455.0	133503000000.0	190499000000.0	182592000000.0	169333000000.0	141210000000.0	121553000000.0	188111000000.0	148734000000.0	111885000000.0	89239370109.0	67220154164.0	52010238716.0	43956369917.0	39309580983.0	44134693.0	44386203.0	44622518.0	44831135.0	45004673.0	45154036.0	45272155.0	45489648.0	45593342.0	45706086.0	45870741.0	46053331.0	46258189.0	46509355.0	46787786.0	47105171.0	47451626.0	47812949.0	48202470.0	48662400.0
44	45	Belarus	1	3	3	7	60258239056.0	64409647194.0	60031262269.0	54726595249.0	47722657821.0	56454734397.0	78813839984.0	75527984234.0	65685102555.0	61757788945.0	57222490769.0	50874078052.0	60763483146.0	45277399814.0	36954312354.0	30207567317.0	23144351852.0	17827791321.0	14594249023.0	12354820144.0	9379952.0	9419758.0	9438785.0	9458989.0	9469379.0	9461076.0	9448515.0	9443211.0	9446836.0	9461643.0	9483836.0	9504583.0	9527985.0	9560953.0	9604924.0	9663915.0	9730146.0	9796749.0	9865548.0	9928549.0
45	46	Venezuela	1	3	0	4							482359000000.0	371005000000.0	381286000000.0	316482000000.0	393192000000.0	329788000000.0	315953000000.0	230364000000.0	183478000000.0	145510000000.0	112453000000.0	83620628582.0	92893587734.0	122904000000.0	28435943.0	28515829.0	28887117.0	29402480.0	29851249.0	30081827.0	30042973.0	29781046.0	29360827.0	28887873.0	28439942.0	28031010.0	27635827.0	27247601.0	26850190.0	26432445.0	25996594.0	25551624.0	25100407.0	24646471.0
46	46	Romania	1	3	0	4	248716000000.0	249882000000.0	241457000000.0	211695000000.0	188129000000.0	177729000000.0	199959000000.0	190801000000.0	170636000000.0	183327000000.0	166309000000.0	174104000000.0	214314000000.0	174585000000.0	122023000000.0	98452791983.0	74972669057.0	57806506024.0	46066101951.0	40394824679.0	19257520.0	19371648.0	19473970.0	19588715.0	19702267.0	19815616.0	19908979.0	19983693.0	20058035.0	20147528.0	20246871.0	20367487.0	20537875.0	20882982.0	21193760.0	21319685.0	21451748.0	21574326.0	21730496.0	22131970.0
47	48	India	1	2	4	7	2660250000000.0	2870500000000.0	2701110000000.0	2651470000000.0	2294800000000.0	2103590000000.0	2039130000000.0	1856720000000.0	1827640000000.0	1823050000000.0	1675620000000.0	1341890000000.0	1198900000000.0	1216740000000.0	940260000000.0	820382000000.0	709149000000.0	607699000000.0	514938000000.0	485441000000.0	1380004385.0	1366417756.0	1352642283.0	1338676779.0	1324517250.0	1310152392.0	1295600768.0	1280842119.0	1265780243.0	1250287939.0	1234281163.0	1217726217.0	1200669762.0	1183209471.0	1165486291.0	1147609924.0	1129623466.0	1111523146.0	1093317187.0	1075000094.0
48	49	Hong_Kong	1	2	3	6	346586000000.0	363016000000.0	361692000000.0	341244000000.0	320838000000.0	309384000000.0	291459000000.0	275697000000.0	262629000000.0	248514000000.0	228638000000.0	214046000000.0	219280000000.0	211597000000.0	193536000000.0	181570000000.0	169100000000.0	161385000000.0	166349000000.0	169403000000.0	7481800.0	7507400.0	7451000.0	7391700.0	7336600.0	7291300.0	7229500.0	7178900.0	7150100.0	7071600.0	7024200.0	6972800.0	6957800.0	6916300.0	6857100.0	6813200.0	6783500.0	6730800.0	6744100.0	6714300.0
49	50	Philippines	1	2	1	4	361489000000.0	376823000000.0	346842000000.0	328481000000.0	318627000000.0	306446000000.0	297483000000.0	283903000000.0	261921000000.0	234217000000.0	208369000000.0	175975000000.0	181625000000.0	155980000000.0	127653000000.0	107420000000.0	95002028505.0	87039145965.0	84307291974.0	78921234457.0	109581085.0	108116622.0	106651394.0	105172921.0	103663812.0	102113206.0	100513137.0	98871558.0	97212639.0	95570049.0	93966784.0	92414161.0	90901967.0	89405482.0	87888675.0	86326251.0	84710544.0	83051970.0	81365260.0	79672869.0
50	50	Slovakia	1	2	1	4	105173000000.0	105284000000.0	105613000000.0	95393515078.0	89674927723.0	88636928905.0	101089000000.0	98569320343.0	94253181330.0	99492917849.0	90801178162.0	89399303222.0	100880000000.0	86563986799.0	70767338922.0	62808723477.0	57437444469.0	46919965224.0	35297794386.0	30778781607.0	5458827.0	5454147.0	5446771.0	5439232.0	5430798.0	5423801.0	5418649.0	5413393.0	5407579.0	5398384.0	5391428.0	5386406.0	5379233.0	5374622.0	5373054.0	5372807.0	5372280.0	5373374.0	5376912.0	5378867.0
51	52	South_Africa	1	2	0	3	335442000000.0	387935000000.0	404842000000.0	381449000000.0	323586000000.0	346710000000.0	381199000000.0	400886000000.0	434401000000.0	458202000000.0	417365000000.0	329753000000.0	316132000000.0	333075000000.0	303861000000.0	288868000000.0	255807000000.0	197020000000.0	129088000000.0	135430000000.0																				
52	53	Austria	1	1	5	7	433258000000.0	445012000000.0	455168000000.0	417261000000.0	395837000000.0	381971000000.0	442585000000.0	430191000000.0	409402000000.0	431685000000.0	392275000000.0	401759000000.0	432052000000.0	389186000000.0	336280000000.0	316092000000.0	301458000000.0	262274000000.0	214395000000.0	197509000000.0	8916864.0	8879920.0	8840521.0	8797566.0	8736668.0	8642699.0	8546356.0	8479823.0	8429991.0	8391643.0	8363404.0	8343323.0	8321496.0	8295487.0	8268641.0	8227829.0	8171966.0	8121423.0	8081957.0	8042293.0
53	54	Egypt	1	1	4	6	365253000000.0	303081000000.0	249713000000.0	235734000000.0	332442000000.0	329367000000.0	305595000000.0	288434000000.0	279117000000.0	235990000000.0	218984000000.0	189147000000.0	162818000000.0	130438000000.0	107426000000.0	89600665557.0	78782467532.0	80288461538.0	85146067416.0	96684636119.0	102334403.0	100388076.0	98423602.0	96442590.0	94447071.0	92442549.0	90424668.0	88404652.0	86422240.0	84529251.0	82761244.0	81134789.0	79636081.0	78232124.0	76873670.0	75523576.0	74172073.0	72826102.0	71485044.0	70152662.0
54	55	Indonesia	1	1	3	5	1058420000000.0	1119090000000.0	1042270000000.0	1015620000000.0	931877000000.0	860854000000.0	890815000000.0	912524000000.0	917870000000.0	892969000000.0	755094000000.0	539580000000.0	510229000000.0	432217000000.0	364571000000.0	285869000000.0	256837000000.0	234772000000.0	195661000000.0	160447000000.0	273523621.0	270625567.0	267670549.0	264650969.0	261556386.0	258383257.0	255128076.0	251805314.0	248451714.0	245115988.0	241834226.0	238620554.0	235469755.0	232374239.0	229318262.0	226289468.0	223285666.0	220309473.0	217357790.0	214427419.0
55	56	Portugal	1	1	2	4	228539000000.0	239987000000.0	242313000000.0	221358000000.0	206426000000.0	199394000000.0	229902000000.0	226434000000.0	216224000000.0	245118000000.0	238113000000.0	244668000000.0	263416000000.0	240496000000.0	208756000000.0	197254000000.0	189382000000.0	165226000000.0	134796000000.0	121604000000.0	10297081.0	10286263.0	10283822.0	10300300.0	10325452.0	10358076.0	10401062.0	10457295.0	10514844.0	10557560.0	10573100.0	10568247.0	10558177.0	10542964.0	10522288.0	10503330.0	10483861.0	10458821.0	10419631.0	10362722.0
56	56	Ethiopia	1	1	2	4	107645000000.0	95912590628.0	84269348327.0	81770791971.0	74296618481.0	64589334979.0	55612228234.0	47648211133.0	43310721414.0	31952763089.0	29933790334.0	32437389116.0	27066912635.0	19707616773.0	15280861835.0	12401139454.0	10131187261.0	8623691300.0	7850809498.0	8231326016.0	114963583.0	112078727.0	109224410.0	106399926.0	103603461.0	100835453.0	98094264.0	95385793.0	92726982.0	90139928.0	87639962.0	85233923.0	82916236.0	80674343.0	78489205.0	76346310.0	74239508.0	72170581.0	70142090.0	68159422.0
57	58	Tunisia	1	1	0	2	41620349986.0	41804581484.0	42570270107.0	42163974956.0	44360775649.0	45780069047.0	50271342086.0	48683848564.0	47311196335.0	48122838145.0	46206331261.0	43454935940.0	44860969077.0	38914078352.0	34377310293.0	32273007554.0	31183059012.0	27453007373.0	23142153760.0	22066031834.0	11818618.0	11694721.0	11565203.0	11433438.0	11303942.0	11179951.0	11063195.0	10952949.0	10846993.0	10741872.0	10635245.0	10525691.0	10414425.0	10304729.0	10201211.0	10106778.0	10022278.0	9945282.0	9871261.0	9793915.0
58	59	Latvia	1	0	1	2	33707320816.0	34308783825.0	34429023435.0	30483806018.0	28083597512.0	27263090547.0	31386896487.0	30204783462.0	28169902669.0	27474380566.0	23956163077.0	26410909091.0	35854274229.0	31054350978.0	21570076499.0	17003459863.0	14435700533.0	11771975157.0	9557031605.0	8362398702.0	1900449.0	1913822.0	1927174.0	1942248.0	1959537.0	1977527.0	1993782.0	2012647.0	2034319.0	2059709.0	2097555.0	2141669.0	2177322.0	2200325.0	2218357.0	2238799.0	2263122.0	2287955.0	2310173.0	2337170.0
59	59	Fiji	1	0	1	2	4533883782.0	5496264766.0	5581371848.0	5353404422.0	4930204230.0	4682546863.0	4856963230.0	4190143206.0	3972012571.0	3774530616.0	3140508836.0	2870624636.0	3523185920.0	3378314600.0	3076305453.0	2980484920.0	2708078477.0	2300453634.0	1833279985.0	1652464201.0	896444.0	889955.0	883490.0	877460.0	872406.0	868632.0	866447.0	865602.0	865065.0	863451.0	859816.0	853636.0	845356.0	836185.0	827869.0	821606.0	817864.0	816078.0	815257.0	813923.0
60	59	Thailand	1	0	1	2	501644000000.0	544264000000.0	506611000000.0	456357000000.0	413366000000.0	401296000000.0	407339000000.0	420333000000.0	397558000000.0	370819000000.0	341105000000.0	281710000000.0	291383000000.0	262942000000.0	221758000000.0	189319000000.0	172896000000.0	152281000000.0	134301000000.0	120296000000.0	69799978.0	69625581.0	69428454.0	69209817.0	68971313.0	68714519.0	68438748.0	68144519.0	67835969.0	67518379.0	67195032.0	66866834.0	66530980.0	66182064.0	65812540.0	65416189.0	64995303.0	64549867.0	64069093.0	63539190.0
61	59	Estonia	1	0	1	2	30650285472.0	31045591753.0	30489500905.0	26924385103.0	24072829277.0	22890762090.0	26634083965.0	25115753366.0	23019150071.0	23213994093.0	19523477326.0	19633031398.0	24341678629.0	22449129483.0	17022870405.0	14106790200.0	12145911801.0	9874013098.0	7367975888.0	6254649539.0	1329479.0	1326855.0	1321977.0	1317384.0	1315790.0	1315407.0	1314545.0	1317997.0	1322696.0	1327439.0	1331475.0	1334515.0	1337090.0	1340680.0	1346810.0	1354775.0	1362550.0	1370720.0	1379350.0	1388115.0
62	63	Puerto_Rico	1	0	0	1	103138000000.0	104915000000.0	100925000000.0	103446000000.0	104337000000.0	103376000000.0	102446000000.0	102450000000.0	101565000000.0	100352000000.0	98381300000.0	96385600000.0	93639300000.0	89524131600.0	87276164400.0	83914521300.0	80322313000.0	74827400000.0	71623500000.0	69208400000.0																				
63	63	Bermuda	1	0	0	1	6842700000.0	7484113000.0	7224329000.0	7142316000.0	6899911000.0	6654541000.0	6413988000.0	6465756000.0	6378188000.0	6312691000.0	6634526000.0	6656000000.0	6980000000.0	6767000000.0	6144000000.0	4868136000.0	4484703000.0	4186525000.0	3937228000.0	3680483000.0	63903.0	63913.0	63919.0	63873.0	64554.0	65237.0	65138.0	65001.0	64798.0	64564.0	65124.0	65636.0	65273.0	64888.0	64523.0	64154.0	63740.0	63325.0	62912.0	62504.0
64	63	Morocco	1	0	0	1	114725000000.0	119870000000.0	118096000000.0	109683000000.0	103312000000.0	101180000000.0	110081000000.0	106826000000.0	98266306615.0	101370000000.0	93216746662.0	92897320376.0	92507257784.0	79041294874.0	68640825481.0	62343022651.0	59626020162.0	52064058834.0	42236836821.0	39459581217.0	36910558.0	36471766.0	36029089.0	35581257.0	35126274.0	34663608.0	34192358.0	33715705.0	33241898.0	32781860.0	32343384.0	31929087.0	31536807.0	31163670.0	30804689.0	30455563.0	30115196.0	29782884.0	29454765.0	29126323.0
65	66	Colombia	0	4	1	5	271438000000.0	323430000000.0	334198000000.0	311884000000.0	282825000000.0	293482000000.0	381112000000.0	382116000000.0	370921000000.0	334944000000.0	286563000000.0	232398000000.0	242187000000.0	206182000000.0	161619000000.0	145619000000.0	117082000000.0	94641378693.0	97963003805.0	98211749596.0	50882884.0	50339443.0	49661056.0	48909844.0	48175048.0	47520667.0	46967706.0	46495492.0	46075721.0	45662747.0	45222699.0	44750054.0	44254972.0	43737512.0	43200901.0	42647731.0	42075953.0	41483872.0	40875363.0	40255956.0
66	67	Azerbaijan	0	3	4	7	42607176471.0	48174235294.0	47112941176.0	40865558912.0	37867518957.0	53074370486.0	75244294275.0	74164435946.0	69683935845.0	65951627200.0	52909294792.0	44291490421.0	48852482960.0	33050343783.0	20982986344.0	13245716099.0	8680370408.0	7276753895.0	6235856820.0	5707720391.0	10093121.0	10024283.0	9939771.0	9854033.0	9757812.0	9649341.0	9535079.0	9416801.0	9295784.0	9173082.0	9054332.0	8947243.0	8763400.0	8581300.0	8484550.0	8391850.0	8306500.0	8234100.0	8171950.0	8111200.0
67	68	Dominican_Republic	0	3	2	5	78844702329.0	88941299734.0	85555378043.0	79997975622.0	75704720190.0	71164825257.0	67179914027.0	62682163837.0	60681537196.0	58029750746.0	53860175556.0	48261033298.0	48122547177.0	43965420072.0	37879869898.0	35777570136.0	22322395368.0	21403167848.0	27137508657.0	25601765401.0																				
68	69	Armenia	0	2	2	4	12641209802.0	13619291361.0	12457941907.0	11527458566.0	10546135160.0	10553337673.0	11609512940.0	11121465767.0	10619320049.0	10142111334.0	9260284938.0	8647936748.0	11662040714.0	9206301700.0	6384451606.0	4900469950.0	3576615240.0	2807061009.0	2376335048.0	2118467913.0	2963234.0	2957728.0	2951741.0	2944789.0	2936147.0	2925559.0	2912403.0	2897593.0	2884239.0	2876536.0	2877314.0	2888094.0	2907615.0	2932615.0	2958301.0	2981262.0	3000715.0	3017938.0	3033976.0	3050686.0
69	70	Kyrgyz	0	2	1	3	7735976273.0	8871026074.0	8271108638.0	7702934800.0	6813092066.0	6678178340.0	7468096567.0	7335027592.0	6605139933.0	6197766119.0	4794357795.0	4690062255.0	5139957785.0	3802566171.0	2834168889.0	2460248026.0	2211534585.0	1919008090.0	1605643105.0	1525116370.0	6579900.0	6456200.0	6322800.0	6198200.0	6079500.0	5956900.0	5835500.0	5719600.0	5607200.0	5514600.0	5447900.0	5383300.0	5318700.0	5268400.0	5218400.0	5162600.0	5104700.0	5043300.0	4990700.0	4945100.0
70	71	Mongolia	0	1	3	4	13312981595.0	14206359007.0	13178094459.0	11480847745.0	11181350461.0	11619892396.0	12226514722.0	12582122604.0	12292770631.0	10409797649.0	7189481824.0	4583850368.0	5623216449.0	4234999823.0	3414055566.0	2523471532.0	1992066808.0	1595297356.0	1396555720.0	1267997934.0	3278292.0	3225166.0	3170214.0	3113788.0	3056358.0	2998433.0	2940111.0	2881783.0	2824698.0	2770357.0	2719902.0	2673794.0	2631899.0	2593819.0	2558854.0	2526429.0	2496394.0	2468765.0	2443261.0	2419594.0
71	72	Argentina	0	1	2	3	389288000000.0	451932000000.0	524820000000.0	643629000000.0	557531000000.0	594749000000.0	526320000000.0	552025000000.0	545982000000.0	530163000000.0	423627000000.0	332976000000.0	361558000000.0	287531000000.0	232557000000.0	198737000000.0	164658000000.0	127587000000.0	97724004252.0	268697000000.0	45376763.0	44938712.0	44494502.0	44044811.0	43590368.0	43131966.0	42669500.0	42202935.0	41733271.0	41261490.0	40788453.0	40482786.0	40080159.0	39684303.0	39289876.0	38892924.0	38491970.0	38087866.0	37681743.0	37275644.0
72	72	San_Marino	0	1	2	3		1616369646.0	1655300873.0	1528630707.0	1468377272.0	1419394771.0	1673973695.0	1678841812.0	1604779648.0	1813752784.0	1881214371.0	2056126702.0	2393437820.0	2185874624.0	1908167106.0	1785847531.0	1723750000.0	1464326161.0	1168269231.0	1077413479.0																				
73	74	Nigeria	0	1	1	2	432294000000.0	448120000000.0	397190000000.0	375746000000.0	404650000000.0	486803000000.0	546676000000.0	508693000000.0	455502000000.0	404994000000.0	361457000000.0	295009000000.0	339476000000.0	275626000000.0	236104000000.0	176134000000.0	136386000000.0	104912000000.0	95385819321.0	74030364472.0	206139587.0	200963603.0	195874685.0	190873247.0	185960244.0	181137454.0	176404931.0	171765819.0	167228803.0	162805080.0	158503203.0	154324939.0	150269622.0	146339971.0	142538305.0	138865014.0	135320420.0	131900634.0	128596079.0	125394046.0
74	74	Jordan	0	1	1	2	43697659296.0	44502895915.0	42932112676.0	41408960845.0	39892551127.0	38587017887.0	36847643521.0	34454440141.0	31634561690.0	29524149155.0	27133804225.0	24537876056.0	22657662393.0	17110587447.0	15056929760.0	12588665303.0	11411390409.0	10195660790.0	9582453032.0	8975689845.0	10203140.0	10101697.0	9965322.0	9785840.0	9554286.0	9266573.0	8918822.0	8518992.0	8089963.0	7662858.0	7261541.0	6893258.0	6556473.0	6255290.0	5991547.0	5765639.0	5580241.0	5434036.0	5317514.0	5217328.0
75	74	Malaysia	0	1	1	2	337006000000.0	365276000000.0	358792000000.0	319112000000.0	301255000000.0	301355000000.0	338062000000.0	323277000000.0	314443000000.0	297952000000.0	255017000000.0	202258000000.0	230814000000.0	193548000000.0	162691000000.0	143534000000.0	124749000000.0	110202000000.0	100846000000.0	92783947368.0	32365998.0	31949789.0	31528033.0	31104655.0	30684652.0	30270965.0	29866606.0	29468923.0	29068189.0	28650962.0	28208028.0	27735038.0	27236003.0	26720367.0	26201954.0	25690615.0	25190647.0	24698821.0	24208391.0	23709115.0
76	77	Bahrain	0	1	0	1	34729228723.0	38652579787.0	37801462766.0	35473776596.0	32234973404.0	31050638298.0	33387712766.0	32539468085.0	30749308511.0	28776595745.0	25713271277.0	22938218085.0	25710904255.0	21730000000.0	18504760638.0	15968723404.0	13150159574.0	11074813830.0	9593510638.0	8976196809.0	1701583.0	1641164.0	1569440.0	1494077.0	1425793.0	1371853.0	1336073.0	1315029.0	1299942.0	1278153.0	1240864.0	1185075.0	1114645.0	1035924.0	958423.0	889157.0	829846.0	778708.0	735140.0	697550.0
77	77	Saudi_Arabia	0	1	0	1	700118000000.0	792967000000.0	786522000000.0	688586000000.0	644936000000.0	654270000000.0	756350000000.0	746647000000.0	735975000000.0	671239000000.0	528207000000.0	429098000000.0	519797000000.0	415965000000.0	376900000000.0	328460000000.0	258742000000.0	215808000000.0	189606000000.0	184137000000.0																				
78	77	Lithuania	0	1	0	1	56546957475.0	54697379017.0	53750911866.0	47758736932.0	43047309306.0	41435533340.0	48533659592.0	46523420074.0	42927454291.0	43535051482.0	37128694028.0	37388122046.0	47797551588.0	39697891352.0	30183575104.0	26097677572.0	22627507452.0	18781721376.0	14259781159.0	12237388002.0	2794885.0	2794137.0	2801543.0	2828403.0	2868231.0	2904910.0	2932367.0	2957689.0	2987773.0	3028115.0	3097282.0	3162916.0	3198231.0	3231294.0	3269909.0	3322528.0	3377075.0	3415213.0	3443067.0	3470818.0
79	77	North_Macedonia	0	1	0	1	12263710123.0	12606338449.0	12683070061.0	11307058382.0	10672471861.0	10064515432.0	11362272838.0	10817712139.0	9745251126.0	10494632699.0	9407168702.0	9401731496.0	9909548411.0	8336478142.0	6861222332.0	6258600714.0	5682788267.0	4946292775.0	4018365247.0	3709637830.0																				
80	77	Turkmenistan	0	1	0	1		45231428571.0	40765428571.0	37926285714.0	36169428571.0	35799714286.0	43524210526.0	39197543860.0	35164210526.0	29233333333.0	22583157895.0	20214385965.0	19271523179.0	12664165103.0	10276674365.0	8103901996.0	6838351088.0	5977560877.0	4461978499.0	3534803922.0	6031187.0	5942094.0	5850902.0	5757667.0	5662371.0	5565283.0	5466324.0	5366376.0	5267906.0	5174076.0	5087211.0	5007953.0	4935765.0	4870142.0	4810114.0	4754652.0	4703396.0	4655752.0	4610018.0	4564087.0
81	77	Namibia	0	1	0	1	10619194505.0	12496781720.0	13682062249.0	12895153160.0	10721994677.0	11335179562.0	12435416060.0	12043276397.0	13042007432.0	12523402329.0	11431334447.0	8938868165.0	8607475308.0	8839526452.0	8001779551.0	7248394160.0	6609198833.0	4926471294.0	3349184760.0	3557333364.0	2540916.0	2494524.0	2448300.0	2402623.0	2358044.0	2314901.0	2273426.0	2233506.0	2194777.0	2156698.0	2118877.0	2081039.0	2043382.0	2006516.0	1971318.0	1938316.0	1907737.0	1879113.0	1851519.0	1823667.0
82	83	Kazakhstan	0	0	8	8	171082000000.0	181667000000.0	179340000000.0	166806000000.0	137278000000.0	184388000000.0	221416000000.0	236635000000.0	207999000000.0	192627000000.0	148047000000.0	115309000000.0	133442000000.0	104850000000.0	81003884545.0	57123671734.0	43151647003.0	30833699703.0	24636593223.0	22152694162.0	18754440.0	18513673.0	18276452.0	18037776.0	17794055.0	17542806.0	17288285.0	17035551.0	16792090.0	16557202.0	16321872.0	16092822.0	15776938.0	15484192.0	15308085.0	15147029.0	15012984.0	14909019.0	14858948.0	14858335.0
83	84	Mexico	0	0	4	4	1073920000000.0	1269430000000.0	1222410000000.0	1158910000000.0	1078490000000.0	1171870000000.0	1315350000000.0	1274440000000.0	1201090000000.0	1180490000000.0	1057800000000.0	900045000000.0	1109990000000.0	1052700000000.0	975387000000.0	877476000000.0	782241000000.0	729336000000.0	772106000000.0	756706000000.0	128932753.0	127575529.0	126190782.0	124777326.0	123333379.0	121858251.0	120355137.0	118827158.0	117274156.0	115695468.0	114092961.0	112463886.0	110815272.0	109170503.0	107560155.0	106005199.0	104514934.0	103081020.0	101684764.0	100298152.0
84	85	Finland	0	0	2	2	269595000000.0	268508000000.0	275715000000.0	255648000000.0	240771000000.0	234534000000.0	274863000000.0	271362000000.0	258290000000.0	275604000000.0	249424000000.0	253498000000.0	285716000000.0	256378000000.0	217089000000.0	204885000000.0	197479000000.0	171652000000.0	140404000000.0	129533000000.0	5529543.0	5521606.0	5515525.0	5508214.0	5495303.0	5479531.0	5461512.0	5438972.0	5413971.0	5388272.0	5363352.0	5338871.0	5313399.0	5288720.0	5266268.0	5246096.0	5228172.0	5213014.0	5200598.0	5188008.0
85	86	Ghana	0	0	1	1	68532281806.0	68337537816.0	67299280680.0	60406382899.0	56165172899.0	49406568433.0	54782847753.0	62823043706.0	41270954737.0	39337314810.0	32197272797.0	26048108185.0	28678701891.0	24827844950.0	20440893017.0	10744675210.0	8881368538.0	7632406553.0	6166330136.0	5314909954.0	31072945.0	30417858.0	29767108.0	29121464.0	28481947.0	27849203.0	27224480.0	26607641.0	25996454.0	25387713.0	24779614.0	24170943.0	23563832.0	22963946.0	22379057.0	21814648.0	21272328.0	20750308.0	20246376.0	19756929.0
86	86	Cote_dIvoire	0	0	1	1	61348579465.0	58539424930.0	58011466451.0	51588158718.0	47964234560.0	45814637971.0	48843008580.0	42760237561.0	36302305578.0	36693712825.0	34936305297.0	33886814907.0	34078243426.0	28760092035.0	25281414473.0	24036917017.0	23510577108.0	21251755294.0	18054384023.0	16810536884.0																				
87	86	Moldova	0	0	1	1	11915547263.0	11970233940.0	11456728401.0	9669759987.0	8071480541.0	7745231660.0	9510219299.0	9496684701.0	8709165249.0	8414360656.0	6974960345.0	5439422031.0	6054849885.0	4401189466.0	3408244549.0	2988348836.0	2598249556.0	1980907435.0	1661818168.0	1480673594.0	2620495.0	2664974.0	2708214.0	2755158.0	2802170.0	2834530.0	2856950.0	2858692.0	2859458.0	2859833.0	2861487.0	2864346.0	2867964.0	2873429.0	2880095.0	2888111.0	2895147.0	2902320.0	2910504.0	2917252.0
88	86	Botswana	0	0	1	1	15061922802.0	16593720656.0	16914245098.0	16088437675.0	15082578065.0	13578754072.0	15654660710.0	14901750991.0	14380004175.0	15351972361.0	12786654498.0	10267133178.0	10945070442.0	10939053365.0	10137883299.0	9918907108.0	8957467707.0	7511582173.0	5438857107.0	5489608300.0	2351625.0	2303703.0	2254067.0	2205076.0	2159925.0	2120716.0	2088619.0	2062551.0	2039551.0	2015406.0	1987106.0	1953495.0	1915636.0	1875458.0	1835911.0	1799077.0	1765533.0	1734387.0	1704637.0	1674674.0
89	86	Grenada	0	0	1	1	1042100556.0	1212694407.0	1166523556.0	1125685185.0	1061640741.0	997007925.9	911497407.4	842620111.1	799882259.3	778655925.9	771013259.3	771275555.6	825976037.0	758683592.6	698700666.7	695555555.6	599118592.6	591018407.4	540336925.9	520444185.2	112519.0	112002.0	111449.0	110874.0	110263.0	109603.0	108900.0	108172.0	107452.0	106786.0	106227.0	105787.0	105457.0	105183.0	104938.0	104658.0	104346.0	104003.0	103636.0	103242.0
90	86	Burkina_Faso	0	0	1	1	17933606353.0	16178162030.0	15890065020.0	14106956830.0	12833363370.0	11832159276.0	13943016924.0	13444301139.0	12561016091.0	12080296644.0	10109618964.0	9450697336.0	9451436359.0	7625723124.0	6547420134.0	6146352742.0	5451688868.0	4740768355.0	3622350204.0	3190371050.0																				
91	86	Kuwait	0	0	1	1	105960000000.0	136197000000.0	138182000000.0	120707000000.0	109420000000.0	114567000000.0	162631000000.0	174161000000.0	174070000000.0	154068000000.0	115419000000.0	105963000000.0	147395000000.0	114640000000.0	101549000000.0	80798630137.0	59439090601.0	47876510067.0	38137545245.0	34887512227.0	4270563.0	4207077.0	4137314.0	4056102.0	3956862.0	3835588.0	3690939.0	3526382.0	3348852.0	3168054.0	2991884.0	2821041.0	2656010.0	2504026.0	2373661.0	2270196.0	2200498.0	2161626.0	2136991.0	2103273.0
92	86	Syrian_Arab_Republic	0	0	1	1		22777882165.0	21490335086.0	16112991412.0	12356980639.0	16492072144.0	21239000398.0	20345458471.0	42807315976.0	64315437939.0	252518000000.0	224562000000.0	218090000000.0	180030000000.0	153800000000.0	134204000000.0	112863000000.0	95693808463.0	90558485523.0	86771314031.0																				
