Index	Rank	Country	Gold	Silver	Bronze	Total_Medals	Nominal_GDP_2020	Nominal_GDP_2019	Nominal_GDP_2018	Nominal_GDP_2017	Nominal_GDP_2016	Nominal_GDP_2015	Nominal_GDP_2014	Nominal_GDP_2013	Nominal_GDP_2012	Nominal_GDP_2011	Nominal_GDP_2010	Nominal_GDP_2009	Nominal_GDP_2008	Nominal_GDP_2007	Nominal_GDP_2006	Nominal_GDP_2005	Nominal_GDP_2004	Nominal_GDP_2003	Nominal_GDP_2002	Nominal_GDP_2001
75	74	Malaysia	0	1	1	2	337006000000.0	365276000000.0	358792000000.0	319112000000.0	301255000000.0	301355000000.0	338062000000.0	323277000000.0	314443000000.0	297952000000.0	255017000000.0	202258000000.0	230814000000.0	193548000000.0	162691000000.0	143534000000.0	124749000000.0	110202000000.0	100846000000.0	92783947368.0
76	77	Bahrain	0	1	0	1	34729228723.0	38652579787.0	37801462766.0	35473776596.0	32234973404.0	31050638298.0	33387712766.0	32539468085.0	30749308511.0	28776595745.0	25713271277.0	22938218085.0	25710904255.0	21730000000.0	18504760638.0	15968723404.0	13150159574.0	11074813830.0	9593510638.0	8976196809.0
77	77	Saudi_Arabia	0	1	0	1	700118000000.0	792967000000.0	786522000000.0	688586000000.0	644936000000.0	654270000000.0	756350000000.0	746647000000.0	735975000000.0	671239000000.0	528207000000.0	429098000000.0	519797000000.0	415965000000.0	376900000000.0	328460000000.0	258742000000.0	215808000000.0	189606000000.0	184137000000.0
78	77	Lithuania	0	1	0	1	56546957475.0	54697379017.0	53750911866.0	47758736932.0	43047309306.0	41435533340.0	48533659592.0	46523420074.0	42927454291.0	43535051482.0	37128694028.0	37388122046.0	47797551588.0	39697891352.0	30183575104.0	26097677572.0	22627507452.0	18781721376.0	14259781159.0	12237388002.0
79	77	North_Macedonia	0	1	0	1	12263710123.0	12606338449.0	12683070061.0	11307058382.0	10672471861.0	10064515432.0	11362272838.0	10817712139.0	9745251126.0	10494632699.0	9407168702.0	9401731496.0	9909548411.0	8336478142.0	6861222332.0	6258600714.0	5682788267.0	4946292775.0	4018365247.0	3709637830.0
80	77	Turkmenistan	0	1	0	1		45231428571.0	40765428571.0	37926285714.0	36169428571.0	35799714286.0	43524210526.0	39197543860.0	35164210526.0	29233333333.0	22583157895.0	20214385965.0	19271523179.0	12664165103.0	10276674365.0	8103901996.0	6838351088.0	5977560877.0	4461978499.0	3534803922.0
81	77	Namibia	0	1	0	1	10619194505.0	12496781720.0	13682062249.0	12895153160.0	10721994677.0	11335179562.0	12435416060.0	12043276397.0	13042007432.0	12523402329.0	11431334447.0	8938868165.0	8607475308.0	8839526452.0	8001779551.0	7248394160.0	6609198833.0	4926471294.0	3349184760.0	3557333364.0
82	83	Kazakhstan	0	0	8	8	171082000000.0	181667000000.0	179340000000.0	166806000000.0	137278000000.0	184388000000.0	221416000000.0	236635000000.0	207999000000.0	192627000000.0	148047000000.0	115309000000.0	133442000000.0	104850000000.0	81003884545.0	57123671734.0	43151647003.0	30833699703.0	24636593223.0	22152694162.0
83	84	Mexico	0	0	4	4	1073920000000.0	1269430000000.0	1222410000000.0	1158910000000.0	1078490000000.0	1171870000000.0	1315350000000.0	1274440000000.0	1201090000000.0	1180490000000.0	1057800000000.0	900045000000.0	1109990000000.0	1052700000000.0	975387000000.0	877476000000.0	782241000000.0	729336000000.0	772106000000.0	756706000000.0
84	85	Finland	0	0	2	2	269595000000.0	268508000000.0	275715000000.0	255648000000.0	240771000000.0	234534000000.0	274863000000.0	271362000000.0	258290000000.0	275604000000.0	249424000000.0	253498000000.0	285716000000.0	256378000000.0	217089000000.0	204885000000.0	197479000000.0	171652000000.0	140404000000.0	129533000000.0
85	86	Ghana	0	0	1	1	68532281806.0	68337537816.0	67299280680.0	60406382899.0	56165172899.0	49406568433.0	54782847753.0	62823043706.0	41270954737.0	39337314810.0	32197272797.0	26048108185.0	28678701891.0	24827844950.0	20440893017.0	10744675210.0	8881368538.0	7632406553.0	6166330136.0	5314909954.0
86	86	Cote_dIvoire	0	0	1	1	61348579465.0	58539424930.0	58011466451.0	51588158718.0	47964234560.0	45814637971.0	48843008580.0	42760237561.0	36302305578.0	36693712825.0	34936305297.0	33886814907.0	34078243426.0	28760092035.0	25281414473.0	24036917017.0	23510577108.0	21251755294.0	18054384023.0	16810536884.0
87	86	Moldova	0	0	1	1	11915547263.0	11970233940.0	11456728401.0	9669759987.0	8071480541.0	7745231660.0	9510219299.0	9496684701.0	8709165249.0	8414360656.0	6974960345.0	5439422031.0	6054849885.0	4401189466.0	3408244549.0	2988348836.0	2598249556.0	1980907435.0	1661818168.0	1480673594.0
88	86	Botswana	0	0	1	1	15061922802.0	16593720656.0	16914245098.0	16088437675.0	15082578065.0	13578754072.0	15654660710.0	14901750991.0	14380004175.0	15351972361.0	12786654498.0	10267133178.0	10945070442.0	10939053365.0	10137883299.0	9918907108.0	8957467707.0	7511582173.0	5438857107.0	5489608300.0
89	86	Grenada	0	0	1	1	1042100556.0	1212694407.0	1166523556.0	1125685185.0	1061640741.0	997007925.9	911497407.4	842620111.1	799882259.3	778655925.9	771013259.3	771275555.6	825976037.0	758683592.6	698700666.7	695555555.6	599118592.6	591018407.4	540336925.9	520444185.2
90	86	Burkina_Faso	0	0	1	1	17933606353.0	16178162030.0	15890065020.0	14106956830.0	12833363370.0	11832159276.0	13943016924.0	13444301139.0	12561016091.0	12080296644.0	10109618964.0	9450697336.0	9451436359.0	7625723124.0	6547420134.0	6146352742.0	5451688868.0	4740768355.0	3622350204.0	3190371050.0
91	86	Kuwait	0	0	1	1	105960000000.0	136197000000.0	138182000000.0	120707000000.0	109420000000.0	114567000000.0	162631000000.0	174161000000.0	174070000000.0	154068000000.0	115419000000.0	105963000000.0	147395000000.0	114640000000.0	101549000000.0	80798630137.0	59439090601.0	47876510067.0	38137545245.0	34887512227.0
92	86	Syrian_Arab_Republic	0	0	1	1		22777882165.0	21490335086.0	16112991412.0	12356980639.0	16492072144.0	21239000398.0	20345458471.0	42807315976.0	64315437939.0	252518000000.0	224562000000.0	218090000000.0	180030000000.0	153800000000.0	134204000000.0	112863000000.0	95693808463.0	90558485523.0	86771314031.0
