Index	Rank	Country	Gold	Silver	Bronze	Total_Medals	Nominal_GDP_2020	Nominal_GDP_2019	Nominal_GDP_2018	Nominal_GDP_2017	Nominal_GDP_2016	Nominal_GDP_2015	Nominal_GDP_2014	Nominal_GDP_2013	Nominal_GDP_2012	Nominal_GDP_2011	Nominal_GDP_2010	Nominal_GDP_2009	Nominal_GDP_2008	Nominal_GDP_2007	Nominal_GDP_2006	Nominal_GDP_2005	Nominal_GDP_2004	Nominal_GDP_2003	Nominal_GDP_2002	Nominal_GDP_2001
18	19	Kenya	4	4	2	10	101014000000.0	100555000000.0	92202956321.0	82035800868.0	74815121315.0	70120413329.0	68285768554.0	61671425370.0	56396706006.0	46869457318.0	45405587557.0	42347217913.0	35895153328.0	31958195182.0	25825524821.0	18737897745.0	16095337094.0	14904517650.0	13147743911.0	12986007426.0
19	20	Norway	4	2	2	8	362198000000.0	404941000000.0	437000000000.0	398394000000.0	368827000000.0	385802000000.0	498410000000.0	522762000000.0	509506000000.0	498283000000.0	428757000000.0	386190000000.0	462250000000.0	400937000000.0	345581000000.0	308884000000.0	264512000000.0	228859000000.0	195524000000.0	173972000000.0
20	21	Jamaica	4	1	4	9	13812425037.0	15830768550.0	15730793853.0	14808989993.0	14077109397.0	14188935948.0	13899228824.0	14264202737.0	14807086889.0	14444655300.0	13220556883.0	12120460873.0	13709402085.0	12799593018.0	11930171468.0	11243868486.0	10174664854.0	9430230564.0	9719017926.0	9194717836.0
21	22	Spain	3	8	6	17	1281480000000.0	1393050000000.0	1420990000000.0	1312540000000.0	1232910000000.0	1195600000000.0	1371220000000.0	1355140000000.0	1324740000000.0	1480710000000.0	1422110000000.0	1491470000000.0	1631860000000.0	1474000000000.0	1260400000000.0	1153720000000.0	1069060000000.0	907492000000.0	708757000000.0	627830000000.0
22	23	Sweden	3	6	0	9	541220000000.0	533880000000.0	555455000000.0	541019000000.0	515655000000.0	505104000000.0	581964000000.0	586842000000.0	552484000000.0	574094000000.0	495813000000.0	436537000000.0	517706000000.0	491253000000.0	423093000000.0	392218000000.0	385118000000.0	334337000000.0	266849000000.0	242396000000.0
23	24	Switzerland	3	4	6	13	752248000000.0	731767000000.0	735539000000.0	704479000000.0	695601000000.0	702150000000.0	734397000000.0	712748000000.0	692110000000.0	722038000000.0	603434000000.0	558200000000.0	570304000000.0	493537000000.0	443802000000.0	420545000000.0	405531000000.0	363063000000.0	310176000000.0	287227000000.0
24	25	Denmark	3	4	4	11	356085000000.0	347561000000.0	356841000000.0	332121000000.0	313116000000.0	302673000000.0	352994000000.0	343584000000.0	327149000000.0	344003000000.0	321995000000.0	321241000000.0	353361000000.0	319423000000.0	282885000000.0	264467000000.0	251373000000.0	218096000000.0	178635000000.0	164791000000.0
25	26	Croatia	3	3	2	8	57203783203.0	62246206341.0	62247874949.0	56214427431.0	52295158344.0	50163192883.0	58330289757.0	58889082315.0	57192346923.0	63169910822.0	60426018629.0	63084004705.0	70750646248.0	60542673503.0	50860788253.0	45780237257.0	41958833541.0	34985749883.0	27074550258.0	23273640257.0
26	27	Iran	3	2	2	7	203471000000.0	258245000000.0	294357000000.0	445345000000.0	417984000000.0	384951000000.0	432687000000.0	460293000000.0	598868000000.0	580765000000.0	486808000000.0	416397000000.0	412336000000.0	349882000000.0	266299000000.0	226452000000.0	190043000000.0	153545000000.0	128627000000.0	126879000000.0
27	28	Serbia	3	1	5	9	53335016425.0	51514222382.0	50640650221.0	44179055280.0	40692643373.0	39655958843.0	47062206678.0	48394239475.0	43309252921.0	49258136129.0	41819468692.0	45162894381.0	52194221469.0	43170990616.0	32482070360.0	27683225959.0	26141968161.0	22482365322.0	17120906918.0	12960538724.0
