Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bahamas,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10562800000,11176100000,11861900000,11834600000,12357600000,12755800000,13192800000,9699500000,11208600000
Bosnia and Herzegovina,5567405605,5800774707,6728771319,8498560877,10157553968,11222953329,12864610865,15778767390,19112739365,17613836494,17176781066,18644723861,17221192487,18172335776,18560861398,16219819344,16914287593,18079076427,20177422311,20201323283,19955120005,22571512867
Belarus,12736856828,12354820144,14594249023,17827791321,23144351852,30207567317,36954312354,45277399814,60763483146,50874078052,57222490769,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54726595249,60031262269,64409647194,61489588895,68218816484
Belize,832072450,871590369.3,932292858.9,990727709.5,1057653620,1111453824,1211148305,1283112550,1352588868,1320605472,1387925188,1466822039,1531348953,1581844936,1676406802,1734320479,1796928937,1844906693,1887465218,1945250236,1585631670,1789923264
Bermuda,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6881662000,7080900000
Bolivia,8397912525,8141537877,7905485146,8082364816,8773451752,9549077919,11451869202,13120183208,16674324662,17339992194,19649631308,23963033429,27084497482,30659338886,32996188017,33000198249,33941126194,37508642171,40287647931,40895322851,36629843806,40408208524
Brazil,6.55448E+11,5.59984E+11,5.09795E+11,5.58234E+11,6.69289E+11,8.91634E+11,1.10763E+12,1.39711E+12,1.69586E+12,1.667E+12,2.20884E+12,2.61616E+12,2.46523E+12,2.47282E+12,2.45604E+12,1.80221E+12,1.79569E+12,2.06351E+12,1.91693E+12,1.87329E+12,1.44857E+12,1.60898E+12
Barbados,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217450803,4674007452,4784925079,4465657315,4529928302,4657699461,4610095998,4677248302,4696344342,4724691213,4832811756,4981588900,5097283213,5304164323,4689534962,4900800000
Brunei Darussalam,6001153306,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12247694247,14393099069,10732366286,13707370737,18525319978,19047940301,18093829923,17098342541,12930394938,11400854268,12128104859,13567351175,13469422959,12005825770,14006569576
Bhutan,424464089.9,461444513.7,520849551.5,604041957.9,682523857,796938120.2,874989895.6,1168308517,1227808791,1234014292,1547991318,1777101317,1781281282,1756215665,1907090813,2003598213,2158972129,2450364928,2446866405,2535657069,2315436303,0
Botswana,5788329609,5489608300,5438857107,7511582173,8957467707,9918907108,10137883299,10939053365,10945070442,10267133178,12786654498,15351972361,14380004175,14901750991,15654660710,13578754072,15082578065,16088437675,16914245098,16695925027,14930072799,17613846473
Central African Republic,916777282.7,932648604.4,996068145.6,1142315522,1272360517,1337894380,1461859763,1699811293,1993407887,2067381664,2142591376,2437982840,2510126699,1691544192,1894813505,1695825708,1825018191,2072349974,2220978978,2221301401,2326720921,2516498299
Canada,7.44773E+11,7.38982E+11,7.60649E+11,8.95541E+11,1.02669E+12,1.17311E+12,1.31926E+12,1.46882E+12,1.55299E+12,1.37463E+12,1.61734E+12,1.79333E+12,1.82837E+12,1.8466E+12,1.80575E+12,1.55651E+12,1.52799E+12,1.64927E+12,1.72533E+12,1.74202E+12,1.64542E+12,1.99076E+12
Central Europe and the Baltics,4.28307E+11,4.68825E+11,5.28393E+11,6.34139E+11,7.63216E+11,8.8685E+11,1.00293E+12,1.26681E+12,1.53296E+12,1.2909E+12,1.31817E+12,1.44934E+12,1.35332E+12,1.42276E+12,1.46593E+12,1.29306E+12,1.32156E+12,1.46453E+12,1.64546E+12,1.67386E+12,1.65492E+12,1.8879E+12
