Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Comoros,647.4258118,680.9055728,747.9888625,937.7108963,1061.075548,1069.029426,1114.945281,1240.092528,1393.216032,1344.730406,1316.491213,1447.945144,1403.360252,1505.337292,1513.830379,1242.585608,1273.050952,1323.814843,1428.290463,1404.433187,1407.40927
Cabo Verde,1259.353067,1292.226512,1401.891073,1809.11003,2024.266381,2099.148417,2361.380101,3186.779935,3721.219993,3517.430156,3378.323433,3740.374103,3447.4831,3616.03557,3588.625584,3043.031382,3131.017598,3292.633503,3616.460666,3603.775241,3064.272388
Costa Rica,3789.053886,3960.307703,4042.705686,4147.824369,4404.711884,4676.379366,5227.465952,6103.741917,6901.388306,6801.036735,8227.127494,9229.834517,10075.00462,10744.09102,10847.16967,11642.77805,12011.22275,12225.57449,12485.4239,12762.13801,12201.92603
Caribbean small states,5258.30631,5379.459475,5605.43481,5951.055409,6464.671128,7260.795899,8206.162342,9060.804021,10234.80996,8588.715063,9263.029591,9929.770862,10200.02028,10321.24032,10402.31367,10181.80616,9557.667766,9915.744684,10250.29173,10406.67071,8857.870922
Cuba,2747.100303,2837.73573,2999.241763,3197.133185,3395.710843,3786.66345,4336.638025,4822.887396,5010.434715,5120.064236,5305.883578,6139.718783,6497.314764,6837.71168,7133.337679,7694.014637,8060.796598,8541.213686,8824.194008,9125.878679,9477.852873
Curacao,0,0,0,0,0,0,0,0,0,0,0,19446.45657,19886.67837,19762.73962,19552.66055,19260.26985,18881.83062,18788.80728,18956.09791,19024.17723,16109.86167
Cayman Islands,0,0,0,0,0,0,82801.54347,85433.03028,85188.33603,77400.42237,73351.75776,72329.6623,72777.14784,73514.66965,74990.43274,76284.1943,78471.62814,81513.16283,86180.53969,91513.04267,85346.76195
Cyprus,14388.34766,14821.44727,16093.21484,20252.23828,23792.62109,24959.25977,26729.32422,31244.92578,35397.36328,32109.24219,31023.63867,32396.38672,28912.15625,27729.19336,27163.33203,23408.33594,24605.91992,26608.875,29334.11133,29206.07617,27681.56641
Czech_Republic,6029.038193,6637.041657,8060.868703,9818.568493,11749.85266,13430.6699,15261.79759,18466.54793,22804.57768,19861.69743,19960.06849,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23419.73561,23660.14881,22933.49959
Germany,23694.76048,23628.32721,25197.2656,30310.3576,34106.65812,34520.23965,36353.88033,41640.08087,45612.71062,41650.36783,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47973.60762,46794.89929,46252.6893
Djibouti,768.1835703,780.9039613,791.3841807,818.8687857,863.2360874,904.7366795,967.6795838,1052.719117,1223.852363,1267.317394,1343.275125,1451.548081,1559.240651,2312.720948,2464.294905,2652.513228,2803.689125,2926.153304,3038.269738,3172.750685,3219.701128
Dominica,4787.801441,4883.003024,4770.851894,4897.308367,5216.872434,5160.889141,5518.4232,5951.863413,6468.944767,6903.145806,6967.364955,7065.460372,6849.455933,7016.380071,7317.486143,7597.288894,8080.968623,7298.51458,7745.376963,8516.280039,7003.859021
Denmark,30743.54768,30751.65435,33228.69354,40458.7774,46511.59833,48799.8256,52026.99951,58487.05497,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61591.92887,59775.7351,61063.31643
Dominican_Republic,2869.178139,2977.43451,3110.325447,2418.350422,2487.329061,3932.784407,4109.033591,4707.795052,5087.983213,5039.403122,5555.392014,5913.426649,6110.366576,6238.132367,6608.825501,6921.520594,7280.88361,7609.353275,8050.644076,8282.117131,7268.19691
Algeria,1765.027146,1740.606654,1781.828908,2103.381291,2610.185422,3113.094883,3478.710002,3950.512993,4923.631615,3883.2709,4480.786318,5455.679403,5592.220115,5499.587331,5493.056695,4177.889542,3946.452447,4109.698217,4142.018558,3989.668276,3306.858208
East Asia & Pacific,4089.164462,3769.285484,3796.868341,4141.861572,4610.578407,4882.835544,5137.096081,5699.822547,6525.364675,6669.228692,7731.862633,8903.490987,9450.125175,9482.163953,9707.506845,9599.414082,9867.865824,10466.42427,11324.00488,11494.09153,11483.59931
Europe & Central Asia,11683.49441,11785.38366,12887.40117,15628.78036,18159.7271,19260.78447,20795.94679,24217.74843,26535.46949,23247.42935,23680.22746,26191.56727,25132.53092,26147.70105,26388.22379,22624.91539,22455.14736,23704.3284,25297.67986,24914.60337,23981.02201
Ecuador,1445.279324,1894.616196,2172.101877,2425.851842,2691.277685,3002.138604,3328.884156,3567.837186,4249.01897,4231.619235,4633.591284,5200.555108,5682.046108,6056.331213,6377.093929,6124.490887,6060.092962,6213.503127,6295.934662,6222.524653,5627.77228
Egypt,1450.476242,1378.203383,1191.103239,1102.468199,1062.158092,1186.393313,1397.43669,1667.317998,2044.527804,2331.26884,2645.968759,2791.810766,3229.68563,3262.657586,3379.557986,3562.932658,3519.87324,2444.290387,2537.125185,3019.092283,3569.206841
Euro area,20215.63404,20450.66973,22213.42407,27194.45157,31006.78165,31949.48392,33796.53946,38717.26813,42355.1551,38580.84603,37605.90024,40657.60014,37595.87709,39120.33334,39912.44232,34388.28378,35163.47243,37154.48194,40059.18248,39195.77483,38012.66729
Eritrea,308.1341868,316.8239534,293.9556724,334.5855715,407.769077,388.5959475,415.0360305,439.8321034,450.6323989,595.1099872,501.355317,642.5082588,0,0,0,0,0,0,0,0,0
Spain,14749.68742,15369.00116,17106.68658,21510.83625,24907.00085,26429.15094,28389.07858,32591.35031,35510.72223,32169.50285,30532.48051,31677.90031,28322.80925,29067.80946,29500.78943,25742.36883,26523.34822,28170.16786,30364.57994,29554.49052,27056.42175
Estonia,4070.609024,4505.858332,5341.628947,7203.523038,8914.103557,10412.64431,12639.40007,16744.58445,18204.96648,14711.73527,14663.04461,17487.80478,17403.20533,19056.00192,20261.06673,17402.03761,18295.34293,20437.76538,23063.56382,23397.87826,23054.35849
Ethiopia,124.4607909,120.7657837,111.9272251,119.490396,136.46625,162.4327286,194.6874329,244.2860523,326.4368228,380.5690032,341.5541227,354.4795719,467.0778718,499.5315302,566.9264029,640.5419231,717.1248698,768.5230154,771.5248663,855.7608852,936.4507576
European Union,16947.62486,17199.11145,18761.14413,22968.34912,26308.6808,27344.67445,29093.77846,33591.38512,37050.44892,33484.20596,32970.71547,35756.32903,33158.89214,34578.05193,35286.11738,30485.02881,31186.51062,33094.40835,35753.36685,35089.28279,34191.82825
Finland,24345.91482,24967.79252,26997.75299,32927.68029,37772.17811,39054.85044,41222.602,48476.39273,53772.79424,47481.48454,46505.30318,51148.93164,47708.06128,49892.22336,50327.24029,42801.90812,43814.02651,46412.13648,49988.91085,48628.64176,49160.83715
Fiji,2069.317455,2030.246351,2248.714191,2818.91392,3311.159895,3627.632856,3715.932657,4040.152119,4167.694935,3362.820495,3652.535933,4371.447385,4591.577015,4840.72727,5605.609148,5390.714207,5651.272721,6101.02389,6317.413723,6175.890653,5102.843929
France,22419.69482,22452.98238,24292.58023,29633.67898,33803.3096,34773.15015,36474.15959,41561.20051,45519.29688,41740.24303,40677.98514,43848.10605,40872.36246,42605.04438,43068.54872,36652.92231,37062.53357,38781.04949,41592.7959,40578.64429,39037.12263
Faroe Islands,22856.73883,24724.45795,27021.812,31624.51331,35886.91573,36756.12167,42153.94197,48784.8905,52034.57903,48011.89311,48578.59681,52267.12318,50464.65867,55892.28702,60484.34073,53310.26201,58224.80551,61455.05261,65572.60753,67153.68194,66320.6792
Micronesia Fed. Sts.,2171.889577,2248.492115,2265.944108,2295.868178,2253.113745,2358.1467,2406.114412,2458.658394,2541.261625,2721.97609,2885.305492,3009.256825,3131.386715,2994.792394,2971.512602,2906.617012,3014.700358,3289.642117,3568.291016,3624.249092,3542.969788
Gabon,4135.99238,3993.031336,4141.434366,4933.46217,5739.613204,6891.36192,7221.369877,8458.309179,10254.17196,7721.018953,8849.322608,10809.68495,9813.505747,9683.58162,9663.42411,7384.700704,6984.419712,7230.434912,7959.007267,7766.996554,6881.714225
United_Kingdom,28223.06757,27806.44882,30049.89632,34487.46757,40371.71083,42132.09072,44654.09692,50653.25691,47549.34863,38952.21103,39688.61497,42284.88449,42686.80005,43713.81412,47787.2413,45404.56777,41499.5557,40857.75558,43646.95197,43070.49836,41098.07865
Georgia,749.908535,801.9904139,853.5164537,1010.00798,1305.047486,1642.760938,1996.057129,2635.353882,3324.735879,2822.66743,3233.295943,4021.743306,4421.818242,4623.745725,4739.188338,4014.185944,4062.169888,4357.000936,4722.042423,4696.150586,4255.742993
Ghana,258.4710399,269.0149848,304.564636,367.8213621,417.5080667,492.5440562,913.3938493,1081.166318,1217.064435,1077.662058,1299.345212,1549.462719,1587.560932,2361.090324,2012.264247,1774.074771,1971.956935,2074.290733,2260.860567,2246.625578,2254.153889
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,363.4822793,336.1540207,343.6026312,393.7396899,407.3009759,322.41554,453.4037133,659.992931,715.0965267,674.0854826,672.4249304,651.1361134,717.0505359,769.0031667,787.2385644,769.2554754,732.2915119,855.5752706,955.1112811,1052.588091,1078.950006
Gambia The,594.1493885,505.4216361,411.7718939,335.906217,642.7562183,665.7202157,662.3628772,780.3810509,924.5098746,833.2813604,860.6364339,762.7631177,742.7776286,700.5160422,607.4299047,660.7235712,690.7804932,679.7550717,732.7207273,772.5055883,757.4131116
Guinea_Bissau,308.9103184,319.9574494,333.0585793,372.0561949,405.0751184,436.4752202,430.0039403,493.7219932,599.9952372,559.4145709,558.1746681,703.6605673,616.375664,634.6620391,623.3130914,603.3993815,661.4578387,738.5499449,802.7673851,749.453747,727.5201717
Equatorial Guinea,1725.557584,2313.165937,2744.191483,3618.544476,6152.131238,10963.40638,12857.36882,15908.41119,22942.6101,16668.1217,17288.84128,21641.69508,21711.15323,20390.73826,19394.08184,11283.39802,9250.316728,9667.856962,10005.61604,8380.741122,7198.335884
Greece,12072.92936,12549.03689,14177.57216,18518.37884,21995.47794,22560.14729,24821.93675,28863.97329,32127.98319,29828.75602,26716.64883,25483.88256,21912.99829,21787.78776,21616.71001,18083.87791,17923.96681,18582.08934,19756.99046,19133.75776,17647.23269
Grenada,5056.977259,5041.012235,5213.795649,5682.705378,5741.653658,6645.985549,6658.223586,7212.986819,7832.349081,7290.834938,7258.166561,7291.74167,7444.089075,7789.632355,8370.040472,9096.538652,9628.259169,10152.83281,10466.88221,10834.49568,9273.199292
Greenland,19004.10729,19275.47334,20652.87833,27459.76278,32023.45221,32489.78191,35458.12312,39780.95144,44367.05565,44918.56488,43988.33249,47186.98147,45936.76595,47535.58995,50484.92757,44536.40131,48181.87419,50766.59942,54545.29998,53256.24409,54570.37502
Guatemala,1664.298958,1550.360366,1682.994501,1737.879287,1859.098363,2068.500129,2251.087963,2490.749127,2802.461962,2651.817123,2852.547327,3228.045741,3355.036919,3522.773706,3779.642336,3994.636913,4173.301666,4454.04815,4478.424646,4638.634943,4603.339643
Guam,0,0,21594.03969,22628.27869,24472.78202,26596.21479,26713.05839,27680.54996,29288.78186,30320.53859,31040.0843,31210.47029,32908.30677,33656.45357,34843.20557,35829.25036,36214.00692,36601.91988,36556.67491,38040.58699,34624.34013
Guyana,954.4003181,955.6653806,974.9491933,997.2113729,1056.423886,1105.506825,3188.67316,3658.479967,4050.786237,4233.766143,4580.698762,4908.566448,5378.810878,5489.140726,5407.147366,5576.825852,5811.397924,6124.95367,6145.819277,6609.51128,6955.939217
High income,25224.96379,24822.42601,25723.72913,28653.8671,31694.41026,33295.52822,34919.67493,37953.03345,40116.22615,37307.33378,38836.67113,41742.15873,41524.88924,41805.75112,42455.82354,39847.26178,40475.17746,42118.2044,44571.43358,44774.77502,43282.42346
Hong_Kong,25756.66378,25230.21633,24665.89,23977.01945,24928.10037,26649.7508,28224.21506,30594.01784,31515.66277,30697.34038,32549.99823,35142.48793,36730.8767,38403.77771,40315.28556,42431.88828,43733.91636,46160.42979,48537.56689,48356.0635,46100.97587
Honduras,1093.1081,1133.186372,1134.064445,1158.178083,1217.818021,1308.09197,1430.057614,1583.047451,1739.353377,1789.705553,1904.347152,2088.315547,2144.342363,2102.592449,2206.054397,2302.204411,2342.584904,2453.727115,2510.322943,2574.356751,2405.732848
Croatia,4887.713716,5412.925136,6293.225299,8129.794584,9747.440771,10621.50746,11797.47447,14046.31681,16416.58681,14653.04355,14067.52312,14757.18034,13401.65662,13837.73164,13762.37286,11933.37738,12527.73986,13629.28959,15227.5601,15311.7669,14132.48656
Haiti,805.0256325,735.5211179,692.0301629,542.3335961,667.2825464,781.2766578,804.5245119,1002.888487,1086.938192,1183.604854,1191.972664,1287.95465,1337.335946,1432.837618,1435.13647,1386.854191,1290.380508,1369.063734,1479.345827,1312.770636,1272.367992
Hungary,4624.281657,5276.033189,6655.333009,8421.103313,10303.70419,11225.93258,11493.10041,13944.97101,15777.19202,13081.79264,13223.083,14240.2575,12989.18028,13719.95054,14298.83367,12720.71202,13107.37791,14623.69665,16427.37276,16735.65978,16075.97327
IBRD only,1467.45532,1468.683598,1474.616427,1639.981113,1933.950909,2288.208443,2685.975836,3302.7373,3924.500888,3768.858814,4539.714719,5319.547737,5594.613089,5844.710354,5980.853387,5547.679602,5540.167966,6058.914633,6387.748819,6473.782551,6176.40377
IDA & IBRD total,1260.790045,1257.731182,1265.200191,1401.817086,1646.569515,1938.86413,2270.221332,2769.591636,3279.621665,3146.434078,3759.97122,4343.996248,4552.291849,4751.116991,4859.135489,4509.589868,4493.836521,4879.042932,5110.911271,5168.837517,4925.381242
IDA total,496.9040661,487.8591692,511.3701405,555.4806623,638.4720813,729.105958,849.5056205,971.1013152,1132.965465,1101.696321,1232.055912,1220.833482,1254.827053,1332.400378,1394.917755,1342.999404,1342.913778,1372.988159,1369.260457,1399.11567,1365.047843
IDA blend,573.992377,559.6731838,604.2309695,663.936382,789.5955566,922.3709761,1127.253062,1269.455983,1472.751356,1363.656517,1556.630147,1742.589635,1882.681302,1997.468021,2093.792195,1972.147153,1861.940378,1787.801592,1835.321807,1852.219116,1740.603808
Indonesia,780.1902047,748.2576087,900.1775881,1065.64852,1150.261367,1263.287332,1589.801489,1860.002811,2166.854231,2261.247309,3122.362673,3643.047176,3694.35934,3623.927241,3491.637491,3331.695115,3562.816334,3837.578024,3893.859578,4135.233344,3870.55762
IDA only,459.5861423,453.2744687,465.9970207,502.3602957,563.8801096,633.3478377,710.9345197,822.4673948,963.6643453,971.2915334,1069.976001,958.7904642,938.7390353,997.0369037,1041.977873,1024.886105,1080.258622,1162.971829,1133.259641,1169.69953,1175.586605
Isle of Man,20322.68202,21351.11694,24864.43629,29522.27779,35494.66734,37766.67954,42107.83723,54196.30173,70986.30133,65029.01975,69767.34336,77349.22524,79148.33225,83357.13268,92334.64631,85126.97047,82197.12677,83477.83429,89112.66772,86481.55259,0
India,443.3141938,451.5729973,470.9867868,546.7266135,627.7742417,714.8610154,806.7532806,1028.334772,998.5223415,1101.960838,1357.563727,1458.104066,1443.882435,1449.610451,1573.885642,1605.605445,1732.554242,1980.66702,1998.259076,2072.244897,1933.101069
Not classified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,26334.56721,28282.40988,32705.43456,41203.52958,47754.20232,50933.02161,54329.16186,61396.41746,61353.10656,52133.09062,48655.36616,52177.11268,49026.02307,51533.03457,55599.8508,62012.48493,62861.63912,69774.02897,79107.60499,80886.61574,85422.54287
Iran,1670.009674,1909.412306,1911.678649,2253.935835,2756.198822,3246.051122,3774.358055,4904.666183,5717.314148,5709.948293,6599.660938,8389.273913,8525.768136,6443.029785,5943.048107,5200.680787,5755.802448,6032.065127,4046.341864,3514.042168,2756.749977
Iraq,2058.264401,1494.388802,1320.734706,854.8252808,1391.963489,1855.522348,2373.209448,3182.841351,4636.639325,3853.82862,4657.280269,6045.494567,6836.073995,7076.552265,6637.684375,4688.318017,4550.658638,4985.452879,5915.850854,5943.458455,4583.747494
Iceland,32096.37226,28897.44394,32409.21615,39476.69785,47334.93065,56794.85016,57492.93425,69495.72674,56943.37045,41301.27322,43237.07295,47714.59223,45995.54788,49804.983,54576.74481,52951.68151,61987.92636,72010.14903,74469.80406,68941.46223,59264.03409
